Date,Description,Work Time,Distance (m),Stroke Rate,Pace,Watts,Calories,Avg HR,Notes
2026-06-16,"5,000m",21:24.0,5000,22,2:08.4,165,342,154,First week back
2026-06-17,45 min steady,45:08.0,9940,18,2:16.2,139,644,138,UT2
2026-06-19,8x500m/1:00r,16:22.0,4000,26,2:02.8,189,288,162,Rate 26
2026-06-21,"10,000m",44:52.0,10000,20,2:14.6,144,655,142,Long aerobic
2026-06-23,Just Row,27:17.0,6200,20,2:12.0,152,413,146,
2026-06-25,"4x1,000m/2:00r",16:37.0,4000,24,2:04.6,181,284,160,Even splits
2026-06-27,60 min steady,59:59.0,13280,18,2:15.5,141,864,136,Podcast row
2026-06-30,"5,000m",21:08.0,5000,22,2:06.8,172,348,156,Faster than last 5k
2026-07-02,30r20,36:00.0,8380,20,2:08.9,163,571,150,Rate cap 20
2026-07-04,10x1:00/1:00r,11:00.0,2750,28,2:00.0,203,204,166,Hard
2026-07-05,"10,000m",44:24.0,10000,20,2:13.2,148,660,140,
2026-07-07,Just Row,19:43.0,4500,20,2:11.4,154,301,144,Short on time
2026-07-09,"3x2,000m/3:00r",24:46.0,6000,24,2:03.8,184,428,161,Pieces felt heavy
2026-07-11,45 min steady,45:08.0,10120,18,2:13.8,146,665,137,UT2
2026-07-13,"5,000m",20:54.0,5000,22,2:05.4,177,351,158,
2026-07-16,"2,000m test",7:34.0,2000,30,1:53.6,239,159,174,7:34.4 — first test
2026-07-18,60 min steady,1:00:02.0,13540,18,2:13.0,149,896,134,Recovery week start
2026-07-21,Just Row,31:21.0,7200,20,2:10.6,157,485,142,
2026-07-23,8x500m/1:00r,16:10.0,4000,26,2:01.2,197,293,164,Crisp
2026-07-25,"10,000m",43:56.0,10000,20,2:11.8,153,668,141,Negative split last 2k
2026-07-28,"4x1,000m/2:00r",16:19.0,4000,24,2:02.4,191,289,159,
2026-07-30,45 min steady,45:03.0,10380,18,2:10.2,159,703,136,Legs better
2026-08-01,"5,000m",20:42.0,5000,23,2:04.2,183,356,157,20:42
2026-08-04,Pyramid 500-1k-1500-1k-500,18:18.0,4500,26,2:02.0,193,327,163,Fun one
2026-08-06,30 min steady,30:01.0,6980,20,2:09.0,163,476,145,
2026-08-08,6x750m/1:30r,18:14.0,4500,26,2:01.6,195,328,165,
2026-08-11,"10,000m",43:28.0,10000,20,2:10.4,158,675,140,Comfortable
2026-08-13,"2,000m test",7:28.0,2000,31,1:52.1,248,161,176,7:28.4 PB
2026-08-15,40 min easy,39:59.0,8680,18,2:18.2,133,554,128,Flush after 2k
2026-08-18,"5,000m",20:30.0,5000,23,2:03.0,188,359,156,20:30
2026-08-20,8x500m/1:00r,15:58.0,4000,28,1:59.8,204,297,168,Best interval set
2026-08-23,"5,000m",20:28.0,5000,23,2:02.8,189,360,155,20:28 — 5k PB
2026-09-09,Just Row,25:59.0,4474,27,2:54.2,66,266,,PM showed 3:25 /500m at the end (live split); first entry after the seed log
